epoch,step,train_loss,val_loss
0,31,,0.5069734454154968
1,49,0.519919216632843,
1,63,,0.4982655346393585
2,95,,0.4935525953769684
3,99,0.5085490942001343,
3,127,,0.4896896481513977
4,149,0.5397963523864746,
4,159,,0.48475104570388794
5,191,,0.47902587056159973
6,199,0.4820466637611389,
6,223,,0.4746677875518799
7,249,0.5082874894142151,
7,255,,0.47264859080314636
8,287,,0.4708455801010132
9,299,0.470003217458725,
9,319,,0.46936389803886414
10,349,0.5138294100761414,
10,351,,0.4676993191242218
11,383,,0.46594250202178955
12,399,0.4639618694782257,
12,415,,0.4635779559612274
13,447,,0.4602581858634949
14,449,0.49378734827041626,
14,479,,0.4568646252155304
15,499,0.5010299682617188,
15,511,,0.45443224906921387
16,543,,0.4522815942764282
17,549,0.4651430547237396,
17,575,,0.45047831535339355
18,599,0.4715273976325989,
18,607,,0.44892269372940063
19,639,,0.4461871087551117
20,649,0.5032455921173096,
20,671,,0.4432322680950165
21,699,0.454537034034729,
21,703,,0.43998587131500244
22,735,,0.4370468556880951
23,749,0.44487258791923523,
23,767,,0.43437644839286804
24,799,0.5036583542823792,
24,799,,0.43182334303855896
25,831,,0.4295411705970764
26,849,0.43695133924484253,
26,863,,0.4270496070384979
27,895,,0.4245969355106354
28,899,0.5047760605812073,
28,927,,0.4217159152030945
29,949,0.42926880717277527,
29,959,,0.4198753237724304
30,991,,0.41864410042762756
31,999,0.3879201412200928,
31,1023,,0.4173038899898529
32,1049,0.45711803436279297,
32,1055,,0.4166528582572937
33,1087,,0.4155115783214569
34,1099,0.4511753022670746,
34,1119,,0.41461634635925293
35,1149,0.4503438174724579,
35,1151,,0.4139213562011719
36,1183,,0.4128313958644867
37,1199,0.406411737203598,
37,1215,,0.41148513555526733
38,1247,,0.41056355834007263
39,1249,0.43294697999954224,
39,1279,,0.40839579701423645
40,1299,0.40680772066116333,
40,1311,,0.40682125091552734
41,1343,,0.40271246433258057
42,1349,0.40562987327575684,
42,1375,,0.40044718980789185
43,1399,0.426148384809494,
43,1407,,0.39911797642707825
44,1439,,0.39830076694488525
45,1449,0.3849865794181824,
45,1471,,0.3983936607837677
46,1499,0.4194883704185486,
46,1503,,0.3981190621852875
47,1535,,0.3968069553375244
48,1549,0.4165536165237427,
48,1567,,0.39636269211769104
49,1599,0.4050215780735016,
49,1599,,0.39624595642089844
50,1631,,0.39587223529815674
51,1649,0.43417537212371826,
51,1663,,0.39565184712409973
52,1695,,0.3960624039173126
53,1699,0.3900817036628723,
53,1727,,0.395317941904068
54,1749,0.45910292863845825,
54,1759,,0.39510685205459595
55,1791,,0.3949061334133148
56,1799,0.4237831234931946,
56,1823,,0.39485880732536316
57,1849,0.39128121733665466,
57,1855,,0.39532384276390076
58,1887,,0.39600327610969543
59,1899,0.4079943001270294,
59,1919,,0.39480048418045044
60,1949,0.41860470175743103,
60,1951,,0.3943204879760742
61,1983,,0.3943001925945282
62,1999,0.37952330708503723,
62,2015,,0.3942561447620392
63,2047,,0.39409565925598145
64,2049,0.3721763491630554,
64,2079,,0.3952580988407135
65,2099,0.4046005308628082,
65,2111,,0.39393627643585205
66,2143,,0.3938983678817749
67,2149,0.4265930950641632,
67,2175,,0.39390888810157776
68,2199,0.43829345703125,
68,2207,,0.3939993977546692
69,2239,,0.39365819096565247
70,2249,0.3891547918319702,
70,2271,,0.3934039771556854
71,2299,0.40872901678085327,
71,2303,,0.39374667406082153
72,2335,,0.3932992219924927
73,2349,0.4102075695991516,
73,2367,,0.39327359199523926
74,2399,0.3507917821407318,
74,2399,,0.39326751232147217
75,2431,,0.3934391438961029
76,2449,0.3813149631023407,
76,2463,,0.3931898772716522
77,2495,,0.3929242789745331
78,2499,0.37883082032203674,
78,2527,,0.3932430148124695
79,2549,0.38800308108329773,
79,2559,,0.3931950628757477
80,2591,,0.39295321702957153
81,2599,0.47065138816833496,
81,2623,,0.3929712176322937
82,2649,0.3868573009967804,
82,2655,,0.3928384482860565
83,2687,,0.39295828342437744
84,2699,0.42553219199180603,
84,2719,,0.39275214076042175
85,2749,0.4283031225204468,
85,2751,,0.3928082585334778
86,2783,,0.39262986183166504
87,2799,0.3852979242801666,
87,2815,,0.3927285373210907
88,2847,,0.3926144540309906
89,2849,0.41687309741973877,
89,2879,,0.39259421825408936
90,2899,0.435802161693573,
90,2911,,0.39277753233909607
91,2943,,0.3927620053291321
92,2949,0.3900112807750702,
92,2975,,0.3925743103027344
93,2999,0.419070839881897,
93,3007,,0.3925701379776001
94,3039,,0.39247483015060425
95,3049,0.38618287444114685,
95,3071,,0.3926897943019867
96,3099,0.42618995904922485,
96,3103,,0.39273273944854736
97,3135,,0.3927432596683502
98,3149,0.41804778575897217,
98,3167,,0.392671674489975
99,3199,0.4563632607460022,
99,3199,,0.39250269532203674
100,3200,,0.39250269532203674
